runs,opponent,ground,date,match,Match_No,total
89,Australia,Bengaluru,2020-01-19,ODI,449,21683
45,NewZealand,Auckland,2020-01-24,T20,450,21728
11,NewZealand,Auckland,2020-01-26,T20,451,21739
38,NewZealand,Hamilton,2020-01-29,T20,452,21777
11,NewZealand,Wellington,2020-01-31,T20,453,21788
51,NewZealand,Hamilton,2020-02-05,ODI,454,21839
15,NewZealand,Auckland,2020-02-08,ODI,455,21854
9,NewZealand,MountMaunganui,2020-02-11,ODI,456,21863
2,NewZealand,Wellington,2020-02-21,Test,457,21865
19,NewZealand,Wellington,2020-02-21,Test,458,21884
3,NewZealand,Christchurch,2020-02-29,Test,459,21887
14,NewZealand,Christchurch,2020-02-29,Test,460,21901
21,Australia,Sydney,2020-11-27,ODI,461,21922
89,Australia,Sydney,2020-11-29,ODI,462,22011
63,Australia,Canberra,2020-12-02,ODI,463,22074
9,Australia,Canberra,2020-12-04,T20,464,22083
40,Australia,Sydney,2020-12-06,T20,465,22123
85,Australia,Sydney,2020-12-08,T20,466,22208
74,Australia,Adelaide,2020-12-17,Test,467,22282
4,Australia,Adelaide,2020-12-17,Test,468,22286
11,England,Chennai,2021-02-05,Test,469,22297
72,England,Chennai,2021-02-05,Test,470,22369
0,England,Chennai,2021-02-13,Test,471,22369
62,England,Chennai,2021-02-13,Test,472,22431
27,England,Ahmedabad,2021-02-24,Test,473,22458
0,England,Ahmedabad,2021-03-04,Test,474,22458
0,England,Ahmedabad,2021-03-12,T20,475,22458
73,England,Ahmedabad,2021-03-14,T20,476,22531
77,England,Ahmedabad,2021-03-16,T20,477,22608
1,England,Ahmedabad,2021-03-18,T20,478,22609
80,England,Ahmedabad,2021-03-20,T20,479,22689
56,England,Pune,2021-03-23,ODI,480,22745
66,England,Pune,2021-03-26,ODI,481,22811
7,England,Pune,2021-03-28,ODI,482,22818
44,NewZealand,Southampton,2021-06-18,Test,483,22862
13,NewZealand,Southampton,2021-06-18,Test,484,22875
